upm,nvivi,nhoga,year,fex,facpob,area,ipcm,linea_pobreza_total,linea_pobreza_extrema,hh_totpers,jefe_edad,jefe_aniosestudio,totpov,extpov,lnipcm,perc_tiene_trabajo_remunerado,piezas_por_miembro,vivi_pieza_cocinar_No,vivi_computadora_No,vivi_internet_Yes,vivi_radio_No,vivi_televisor_No,vivi_heladera_No,vivi_cocina_gas_No,vivi_cocina_elec_No,vivi_lavarropas_No,vivi_videoDVD_No,vivi_acondicionador_aire_No,vivi_tv_cable_No,vivi_horno_microondas_Yes,vivi_horno_electrico_No,vivi_auto_camion_No,vivi_motocicleta_No,hh_conyuge_present_No,hh_tekopora_Yes,jefe_female_Yes,jefe_seguro_medico_Yes,jefe_sabe_leer_escribir_No,jefe_quiere_trabajo_Yes,jefe_tipo_empleo1_High,hh_tipo_hogar1_Unipersonal,jefe_idioma1_LowInc,jefe_estado_civil1_Alone,dptorep1_Low,dptorep1_High,vivi_pared1_Low,vivi_agua_proveedor1_High,vivi_combustible1_High,vivi_lote_propiedad1_Other,vivi_piso1_high,vivi_piso1_low,vivi_agua_fuente1_low,vivi_basura1_high,vivi_banho_desague1_low,vivi_vivienda_propiedad1_Other
2732,29,1,2018,432,1728,rural,867918.7989236822,488172,239969,1.3862943611198906,69,2,nontot_pov,nonext_pov,13.673853439639354,0.25,0.22314355131420976,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2732,31,1,2018,510,2040,rural,2201369.2922374513,488172,239969,1.3862943611198906,50,8,nontot_pov,nonext_pov,14.604590130277014,1,-0.2876820724517809,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2754,3,1,2018,853,2559,rural,350290.7777777778,488172,239969,1.0986122886681098,24,12,tot_pov,nonext_pov,12.766518882198369,0.3333333333333333,-0.40546510810816444,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
2754,33,1,2018,518,2590,rural,168221.13333333333,488172,239969,1.6094379124341003,56,0,tot_pov,ext_pov,12.033034662702944,0.2,-0.916290731874155,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
2754,34,1,2018,622,1244,rural,696969.5,488172,239969,0.6931471805599453,29,11,nontot_pov,nonext_pov,13.454496929818207,0.5,0.4054651081081644,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2754,35,1,2018,678,2034,rural,298092.6666666667,488172,239969,1.0986122886681098,39,6,tot_pov,nonext_pov,12.60515967911757,0.3333333333333333,-0.40546510810816444,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0
2754,36,1,2018,485,1940,rural,278917.7083333334,488172,239969,1.3862943611198906,45,5,tot_pov,nonext_pov,12.538672065086269,0.25,-0.2876820724517809,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
2754,37,1,2018,371,742,rural,705458.3333333333,488172,239969,0.6931471805599453,71,0,nontot_pov,nonext_pov,13.466602988762423,1,0.4054651081081644,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
2754,38,1,2018,469,1407,rural,389069.4444444445,488172,239969,1.0986122886681098,60,3,tot_pov,nonext_pov,12.871513127090445,0.6666666666666666,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2754,45,1,2018,540,2160,rural,748593.75,488172,239969,1.3862943611198906,48,5,nontot_pov,nonext_pov,13.525951725499633,0.5,-0.2876820724517809,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
